asset_id;supplier_id;product_id;product_code;file_name;file_path;file_type;representation_type;view_type;units;scale;status;derived_from;file_hash;source_url;source_page;download_date;source_date;checked_date
ROT-HBSPLATE-SRC-DXF;ROT;;;HBS-PLATE_wd04-rothoblaas.dxf;01_SOURCE/Rothoblaas/HBS PLATE/CAD/HBS-PLATE_wd04-rothoblaas.dxf;DXF;HIGH DETAIL;side;mm;1:1;ACTIVE;;fed59dfeb7d3d32307d99f4285f75818c4c20b80d3e26b13ad0857bbd2493a8b;;https://www.rothoblaas.com/products/fastening/screws/screws-carpentry/hbs-plate;;2024-09-09;2026-08-28
ROT-HBSPL860-SVG-SIDE;ROT;ROT-HBSPL860;HBSPL860;HBSPL860 - 8x60.svg;02_EXTRACTEN/Rothoblaas/HBS PLATE/svg/HBSPL860 - 8x60.svg;SVG;DETAIL;side;mm;1:1;REVIEW REQUIRED;ROT-HBSPLATE-SRC-DXF;3e9974b74212a07b938c54b80e5a006308f3490ee3c30b8fdfd86887b4418718;;;;2024-09-09;2026-08-28
ROT-HBSPL860-DXF-SIDE;ROT;ROT-HBSPL860;HBSPL860;HBSPL860 - 8x60.dxf;02_EXTRACTEN/Rothoblaas/HBS PLATE/dxf/HBSPL860 - 8x60.dxf;DXF;DETAIL;side;mm;1:1;REVIEW REQUIRED;ROT-HBSPLATE-SRC-DXF;511dea8b478a13e5718cf55bbd1438395a62cf4a7f0e453cdf95962712dfaf4a;;;;2024-09-09;2026-08-28
ROT-HBSPL880-SVG-SIDE;ROT;ROT-HBSPL880;HBSPL880;HBSPL880 - 8x80.svg;02_EXTRACTEN/Rothoblaas/HBS PLATE/svg/HBSPL880 - 8x80.svg;SVG;DETAIL;side;mm;1:1;REVIEW REQUIRED;ROT-HBSPLATE-SRC-DXF;089194fd0e6608796bb2331338806e879a6ce42dbcc0e4679c33dd92ed229f00;;;;2024-09-09;2026-08-28
ROT-HBSPL880-DXF-SIDE;ROT;ROT-HBSPL880;HBSPL880;HBSPL880 - 8x80.dxf;02_EXTRACTEN/Rothoblaas/HBS PLATE/dxf/HBSPL880 - 8x80.dxf;DXF;DETAIL;side;mm;1:1;REVIEW REQUIRED;ROT-HBSPLATE-SRC-DXF;d2081abab09fb0d5b12908490e7a4bd710d0146cf5ddb2a846439ceeafe8847b;;;;2024-09-09;2026-08-28
ROT-HBSPL8100-SVG-SIDE;ROT;ROT-HBSPL8100;HBSPL8100;HBSPL8100 - 8x100.svg;02_EXTRACTEN/Rothoblaas/HBS PLATE/svg/HBSPL8100 - 8x100.svg;SVG;DETAIL;side;mm;1:1;REVIEW REQUIRED;ROT-HBSPLATE-SRC-DXF;05bb5d49d97a69b992c9997ed101df1970943b23fd022dbd7a181578c1f97f3e;;;;2024-09-09;2026-08-28
ROT-HBSPL8100-DXF-SIDE;ROT;ROT-HBSPL8100;HBSPL8100;HBSPL8100 - 8x100.dxf;02_EXTRACTEN/Rothoblaas/HBS PLATE/dxf/HBSPL8100 - 8x100.dxf;DXF;DETAIL;side;mm;1:1;REVIEW REQUIRED;ROT-HBSPLATE-SRC-DXF;00745a3fe6ec10f998962d3eacf88abd7bdca54c39fc7933b15764c061707412;;;;2024-09-09;2026-08-28
ROT-HBSPL8120-SVG-SIDE;ROT;ROT-HBSPL8120;HBSPL8120;HBSPL8120 - 8x120.svg;02_EXTRACTEN/Rothoblaas/HBS PLATE/svg/HBSPL8120 - 8x120.svg;SVG;DETAIL;side;mm;1:1;REVIEW REQUIRED;ROT-HBSPLATE-SRC-DXF;dd881e364cd50945f5004c29798e7d7480b62c95b55eefdeafa3ec659261819d;;;;2024-09-09;2026-08-28
ROT-HBSPL8120-DXF-SIDE;ROT;ROT-HBSPL8120;HBSPL8120;HBSPL8120 - 8x120.dxf;02_EXTRACTEN/Rothoblaas/HBS PLATE/dxf/HBSPL8120 - 8x120.dxf;DXF;DETAIL;side;mm;1:1;REVIEW REQUIRED;ROT-HBSPLATE-SRC-DXF;6dcda02e5d31a07cc1e007a25f0f0bfde6596d470ba3ebe48d18a290d79cbba8;;;;2024-09-09;2026-08-28
ROT-HBSPL8140-SVG-SIDE;ROT;ROT-HBSPL8140;HBSPL8140;HBSPL8140 - 8x140.svg;02_EXTRACTEN/Rothoblaas/HBS PLATE/svg/HBSPL8140 - 8x140.svg;SVG;DETAIL;side;mm;1:1;REVIEW REQUIRED;ROT-HBSPLATE-SRC-DXF;a7505d0787182856361329ca9a85492d42644b872f5a529ce6ff63e783145bb8;;;;2024-09-09;2026-08-28
