asset_id;depends_on;relation;note
ROT-HBSPL860-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL860-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL880-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL880-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL8100-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL8100-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL8120-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL8120-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL8140-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL8140-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL8160-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL8160-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL1080-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL1080-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10100-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10100-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10120-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10120-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10140-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10140-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10160-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10160-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10180-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL10180-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12100-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12100-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12120-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12120-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12140-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12140-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12160-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
