product_id;supplier_id;product_family;product_code;product_name;category;variant;thread_diameter_mm;length_mm;head_diameter_mm;head_thickness_mm;total_length_mm;status;hole_diameter_steel_mm;drive;material;eta
ROT-HBSPL860;ROT;HBS PLATE;HBSPL860;HBS PLATE 8x60;SCREW;8x60;8;60;13.5;4.5;64.5;REVIEW REQUIRED;11;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL880;ROT;HBS PLATE;HBSPL880;HBS PLATE 8x80;SCREW;8x80;8;80;13.5;4.5;84.5;REVIEW REQUIRED;11;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL8100;ROT;HBS PLATE;HBSPL8100;HBS PLATE 8x100;SCREW;8x100;8;100;13.5;4.5;104.5;REVIEW REQUIRED;11;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL8120;ROT;HBS PLATE;HBSPL8120;HBS PLATE 8x120;SCREW;8x120;8;120;13.5;4.5;124.5;REVIEW REQUIRED;11;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL8140;ROT;HBS PLATE;HBSPL8140;HBS PLATE 8x140;SCREW;8x140;8;140;13.5;4.5;144.5;REVIEW REQUIRED;11;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL8160;ROT;HBS PLATE;HBSPL8160;HBS PLATE 8x160;SCREW;8x160;8;160;13.5;4.5;164.5;REVIEW REQUIRED;11;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL1080;ROT;HBS PLATE;HBSPL1080;HBS PLATE 10x80;SCREW;10x80;10;80;16.5;5.0;85.0;REVIEW REQUIRED;13;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL10100;ROT;HBS PLATE;HBSPL10100;HBS PLATE 10x100;SCREW;10x100;10;100;16.5;5.0;105.0;REVIEW REQUIRED;13;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL10120;ROT;HBS PLATE;HBSPL10120;HBS PLATE 10x120;SCREW;10x120;10;120;16.5;5.0;125.0;REVIEW REQUIRED;13;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL10140;ROT;HBS PLATE;HBSPL10140;HBS PLATE 10x140;SCREW;10x140;10;140;16.5;5.0;145.0;REVIEW REQUIRED;13;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL10160;ROT;HBS PLATE;HBSPL10160;HBS PLATE 10x160;SCREW;10x160;10;160;16.5;5.0;165.0;REVIEW REQUIRED;13;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL10180;ROT;HBS PLATE;HBSPL10180;HBS PLATE 10x180;SCREW;10x180;10;180;16.5;5.0;185.0;REVIEW REQUIRED;13;TX40;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL12100;ROT;HBS PLATE;HBSPL12100;HBS PLATE 12x100;SCREW;12x100;12;100;18.5;5.5;105.5;REVIEW REQUIRED;14;TX50;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL12120;ROT;HBS PLATE;HBSPL12120;HBS PLATE 12x120;SCREW;12x120;12;120;18.5;5.5;125.5;REVIEW REQUIRED;14;TX50;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL12140;ROT;HBS PLATE;HBSPL12140;HBS PLATE 12x140;SCREW;12x140;12;140;18.5;5.5;145.5;REVIEW REQUIRED;14;TX50;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL12160;ROT;HBS PLATE;HBSPL12160;HBS PLATE 12x160;SCREW;12x160;12;160;18.5;5.5;165.5;REVIEW REQUIRED;14;TX50;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL12180;ROT;HBS PLATE;HBSPL12180;HBS PLATE 12x180;SCREW;12x180;12;180;18.5;5.5;185.5;REVIEW REQUIRED;14;TX50;carbon steel, bright zinc plated;ETA-11/0030
ROT-HBSPL12200;ROT;HBS PLATE;HBSPL12200;HBS PLATE 12x200;SCREW;12x200;12;200;18.5;5.5;205.5;REVIEW REQUIRED;14;TX50;carbon steel, bright zinc plated;ETA-11/0030
