tid	eid	vid	family	type
-1	0	0	unknown	unknown
273850	0	0	31 hebo alu prof draaideur	hebo
274196	0	0	31 hebo alu prof draaikiep	hebo
274592	0	0	31 hebo alu prof onderdorpel deur	hebo
275007	0	0	31 hebo alu prof onderdorpel schuifpui	hebo
275250	0	0	31 hebo alu prof vast glas	hebo
275566	0	0	31 hebo bovendorpel schuifpui 67x116	67x116
275852	0	0	31 hebo bovendorpel sponning bi aansl 68x80	68x80
276146	0	0	31 hebo bovendorpel sponning bi aansl 90x80	90x80
276431	0	0	31 hebo bovendorpel sponning bu aansl 90x80	hebo bovendorpel-sponning buiten-met aanslag 90x80_s_e
276755	0	0	31 hebo bovendorpel vast raam 90x75	90x75
277750	0	0	31 bovendorpel montage sponning bi aansl	generiek
278100	0	0	31 bovendorpel montage sponning bi z aansl	generiek
278442	0	0	31 bovendorpel montage sponning bu z aansl	generiek
278735	0	0	31 glaslatblokje	generiek
279591	0	0	31 stelblokje	generiek
279863	0	0	31 steunblokje	generiek
284462	0	0	31 weldorpel deur	31 g weldorpel deur s e
284935	0	0	31 deur tochtprofiel	Type 1
318323	0	0	31 hebo onderdorpel deur binnendraaiend 90x57	90x57
319031	0	0	31 hebo onderdorpel deur buitendraaiend 90x80	90x80
319979	0	0	31 hebo tussenstijl vast raam 90x93	90x93
320476	0	0	31 hebo tussenstijl vast vast 68x75	68x75
320824	0	0	31 hebo onderdorpel schuifpui 67x116	67x116
321287	0	0	31 hebo tussenstijl vast vast 68x93	68x93
321682	0	0	31 hebo zijstijl raam draaiend 68x80	68x80
322098	0	0	31 hebo zijstijl raam draaiend 90x80	90x80
322532	0	0	31 hebo zijstijl raam vast 90x75 p_	90x75
322992	0	0	31 hebo zijstijl raam vast 90x75	90x75
323638	0	0	31 hebo zijstijl schuifpui 67x116	67x116
324738	0	0	31 onderdorpel met dorpelsponning	generiek
325744	0	0	31 onderdorpel met volledige dorpelsponning	generiek
326160	0	0	31 onderdorpel	generiek
328064	0	0	31 zijstijl inmetsel sponning bi spouwlatsponning	generiek
328703	0	0	31 zijstijl montage sponning bi met aanslag	generiek
329164	0	0	31 zijstijl montage sponning bi zonder aanslag	generiek
329644	0	0	31 zijstijl montage sponning bu zonder aanslag	generiek
330063	0	0	31 hebo tussenstijl draaikiep kiep 90x113	90x113
330599	0	0	31 hebo tussenstijl draaikiep kiep 90x93	90x93
330974	0	0	31 hebo tussenstijl draaikiep kiep 68x113	68x113
331562	0	0	31 raam dr scharniersp met stop onder	generiek
332066	0	0	31 hebo tussenstijl draaikiep kiep 68x93	68x93
332682	0	0	31 hebo schuifpui vast deel midden 56x113	56x113
333277	0	0	31 hebo schuifpui vast deel boven 56x55	56x55
333899	0	0	31 hebo schuifpui schuivend deel zijde 56x113	56x113
334584	0	0	31 hebo schuifpui schuivend deel onder 56x176	56x176
335035	0	0	31 hebo schuifpui schuivend deel midden 56x113	56x113
335544	0	0	31 hebo schuifpui schuivend deel boven 56x97	57x97
335964	0	0	31 hebo raam vast raam onder 68x80	68x80
336384	0	0	31 hebo raam vast raam onder 68x75	68x75
336999	0	0	20 isolatie p	isolatie D 020 mm
340774	0	0	30 kitvoeg	holle kitvoeg
